absentCount,abstainCount,againstCount,forCount,id,result,resultType,subject,voteCount,voteDate,names
59,1,0,382,104338,Принято,количественное,"(2 чтение) О проекте федерального закона № 314065-7 ""О внесении изменения в статью 47 Федерального закона ""Об образовании в Российской Федерации"" (в части выплаты компенсации педагогическим работникам за работу по подготовке и проведению государственной итоговой аттестации по образовательным программам основного общего и среднего общего образования)",383,06.19.2018,О проекте федерального закона № 314065-7
101,1,0,340,104339,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 976899-6 ""О внесении изменения в статью 46 Уголовно-процессуального кодекса Российской Федерации"" (об уточнении права подозреваемого получать копию постановления о возбуждении уголовного дела)",341,06.19.2018,О проекте федерального закона № 976899-6
57,0,0,385,104340,Принято,количественное,"(2 чтение) О проекте федерального закона № 976899-6 ""О внесении изменения в статью 46 Уголовно-процессуального кодекса Российской Федерации"" (об уточнении права подозреваемого получать копию постановления о возбуждении уголовного дела)",385,06.19.2018,О проекте федерального закона № 976899-6
105,1,0,336,104341,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 229575-7 ""О внесении изменений в Кодекс административного судопроизводства Российской Федерации и отдельные законодательные акты Российской Федерации"" (в целях закрепления полномочий прокурора на обращение в суд с административным исковым заявлением о принудительной госпитализации отдельных категорий граждан)",337,06.19.2018,О проекте федерального закона № 229575-7
59,0,0,383,104342,Принято,количественное,"(2 чтение) О проекте федерального закона № 229575-7 ""О внесении изменений в Кодекс административного судопроизводства Российской Федерации и отдельные законодательные акты Российской Федерации"" (в целях закрепления полномочий прокурора на обращение в суд с административным исковым заявлением о принудительной госпитализации отдельных категорий граждан)",383,06.19.2018,О проекте федерального закона № 229575-7
48,1,0,393,104344,Принято,количественное,"(первое чтение) О проекте федерального закона № 442400-7 ""О внесении изменений в части первую и вторую Налогового кодекса Российской Федерации и статью 5 Федерального закона ""О внесении изменений в часть вторую Налогового кодекса Российской Федерации и отдельные законодательные акты Российской Федерации"" (об отдельных вопросах налогообложения)",394,06.19.2018,О проекте федерального закона № 442400-7
49,0,0,393,104345,Принято,количественное,"* (первое чтение) О проекте федерального закона № 441858-7 ""О внесении изменений в Федеральный закон ""О кадастровой деятельности"" и Федеральный закон ""О государственной регистрации недвижимости"" в части приведения положений о комплексных кадастровых работах в соответствие с Градостроительным кодексом Российской Федерации""",393,06.19.2018,О проекте федерального закона № 441858-7
78,0,0,364,104346,Принято,количественное,"(к отклонению) О проекте федерального закона № 465407-6 ""О внесении изменений в Земельный кодекс Российской Федерации и отдельные законодательные акты Российской Федерации в части перехода от деления земель на категории к территориальному зонированию"" (принят в 1 чтении 09.12.14)",364,06.19.2018,О проекте федерального закона № 465407-6
48,0,0,394,104347,Принято,количественное,"* (первое чтение) О проекте федерального закона № 455221-7 ""О таможенном регулировании""",394,06.19.2018,О проекте федерального закона № 455221-7
44,0,0,398,104348,Принято,количественное,"* (первое чтение) О проекте федерального закона № 466070-7 ""О внесении изменений в статью 52 части первой и часть вторую Налогового кодекса Российской Федерации"" (в части уточнения порядка исчисления имущественных налогов)",398,06.19.2018,О проекте федерального закона № 466070-7
